x,y,height
1506.884202584923,90.0,1186.315491832992
1558.8457268119894,90.0,1157.6722006486762
1610.8072510390557,90.0,1124.9544224899128
1662.768775266122,90.0,1087.7892839019032
1714.7302994931883,90.0,1046.539861758823
1766.6918237202547,90.0,1000.4611044728385
1818.653347947321,90.0,949.8734570823117
1870.6148721743873,90.0,894.2000574246551
1922.5763964014536,90.0,834.1143099057831
1974.53792062852,90.0,773.4663376952861
2026.4994448555863,90.0,709.948255055245
2078.4609690826524,90.0,645.8551148020122
2130.422493309719,90.0,582.5710526641155
2182.384017536785,90.0,520.291052162826
2234.3455417638515,90.0,460.8050433048503
2286.3070659909176,90.0,409.26231913392564
2338.268590217984,90.0,372.0527067766262
2390.2301144450503,90.0,366.6730792826712
2442.191638672117,90.0,336.9610899169569
2494.153162899183,90.0,245.79082695638408
2546.1146871262495,90.0,268.9790796754467
2598.0762113533156,90.0,-2625.923879156703
2650.037735580382,90.0,-3363.8715686381574
2701.999259807448,90.0,-4478.708101840739
2753.9607840345147,90.0,-6690.5252296923445
2805.922308261581,90.0,-2610.458901912417
2857.8838324886474,90.0,3099.2386623936773
2909.8453567157135,90.0,3308.0788319503527
2961.80688094278,90.0,2863.6354268436244
3013.768405169846,90.0,2923.2498377451325
3065.7299293969127,90.0,3032.655801327767
3117.6914536239788,90.0,2609.645954327495
3169.6529778510453,90.0,2403.074939180491
3221.6145020781114,90.0,2036.7298448934152
3273.576026305178,90.0,1486.9962744499921
3325.537550532244,90.0,425.4692197836564
3377.49907475931,90.0,242.24536246503303
3429.4605989863767,90.0,112.98035580948104
3481.422123213443,90.0,131.16399108578463
3533.3836474405093,90.0,-2927.01069480149
3585.3451716675754,90.0,-2850.1654342831343
3637.306695894642,90.0,-3183.527187369532
3689.268220121708,90.0,-3229.272003331963
3741.2297443487746,90.0,-3161.0930415705097
3793.1912685758407,90.0,-3115.713932948199
3845.1527928029072,90.0,-3099.068385355661
3897.1143170299733,90.0,-3104.201328179033
3949.07584125704,90.0,-3126.6975010766646
4001.037365484106,90.0,-3171.2192782411157
4052.9988897111725,90.0,-3251.960058135578
4104.960413938239,90.0,-3460.102839158878
4156.921938165305,90.0,-3725.6129380529865
4208.883462392371,90.0,-3630.0867613526707
4260.844986619438,90.0,-2803.896163656821
4312.806510846504,90.0,-3364.3982180922058
4364.76803507357,90.0,-4800.812523332249
4416.7295593006365,90.0,-5223.82044740535
4468.691083527703,90.0,-6074.075250180682
4520.65260775477,90.0,-6050.45587641262
4572.614131981835,90.0,-6003.696414830603
4624.575656208902,90.0,-5921.034595441242
4676.537180435968,90.0,-5823.630284452565
4728.498704663035,90.0,-5714.581756188658
4780.460228890101,90.0,-5594.349886284592
4832.421753117167,90.0,-5463.9534168350765
4884.383277344234,90.0,-5322.642450414074
4936.3448015713,90.0,-5173.926378520475
4988.306325798366,90.0,-5016.359270529145
5040.267850025432,90.0,-4846.507859911349
5092.229374252499,90.0,-4668.5565013859405
5144.190898479565,90.0,-4485.442332894041
5196.152422706631,90.0,-4305.835423083168
5248.113946933698,90.0,-4154.5246817315365
5300.075471160764,90.0,-4071.371610126344
5352.03699538783,90.0,-4106.866363251425
5403.998519614896,90.0,-4245.481144201661
5455.960043841963,90.0,-4252.815060854869
5507.9215680690295,90.0,-4295.400865664591
5559.883092296095,90.0,-4345.916742268801
5611.844616523162,90.0,-4278.602763411552
5663.806140750228,90.0,-4365.563142032937
5715.767664977295,90.0,-4608.186196021577
5767.72918920436,90.0,-4120.458381467211
5819.690713431427,90.0,-4027.6463979929313
5871.6522376584935,90.0,-4167.758106179226
5923.61376188556,90.0,-4243.1216401539605
5975.575286112626,90.0,-3166.7483864667674
6027.536810339692,90.0,-3530.6571181226063
6079.498334566759,90.0,-3454.8505738863414
6131.459858793825,90.0,-3180.883467057177
6183.421383020891,90.0,-2653.5396685819164
6235.3829072479575,90.0,-2119.65042991765
6287.344431475024,90.0,-1829.6760422780576
6339.305955702091,90.0,-1746.6562306426888
6391.267479929156,90.0,-1882.5458561397018
6443.229004156223,90.0,-2353.1706428561765
6495.190528383289,90.0,-2965.899828183934
6547.152052610356,90.0,-3464.6335055508216
6599.1135768374215,90.0,-3858.2738134332285
6651.075101064488,90.0,-4171.443853348563
6703.036625291555,90.0,-4427.342924453014
6754.99814951862,90.0,-4640.660259923044
6806.959673745687,90.0,-4818.435480467635
6858.921197972753,90.0,-4971.5284765507895
6910.88272219982,90.0,-5102.339033307298
6962.844246426886,90.0,-5214.283502500911
7014.805770653952,90.0,-5305.005238261299
7066.767294881019,90.0,-5378.674437337294
7118.728819108085,90.0,-5435.31498208345
7170.690343335151,90.0,-5472.5258136719785
7222.651867562217,90.0,-5491.269888294275
7274.613391789284,90.0,-5490.800499332697
7326.5749160163505,90.0,-5474.8116539317825
7378.536440243416,90.0,-5448.520707971333
7430.497964470483,90.0,-5435.0342937122205
7482.459488697549,90.0,-5577.801600899649
7534.421012924616,90.0,-6387.687719484804
7586.382537151681,90.0,-2736.19133611203
7638.344061378748,90.0,2982.7169478680034
7690.3055856058145,90.0,3034.616891559236
7742.267109832881,90.0,2962.5325727993054
7794.228634059947,90.0,2822.6343011300696
7846.190158287013,90.0,2763.7578448116565
7898.15168251408,90.0,2684.723614840389
7950.113206741146,90.0,2596.2480286457753
8002.074730968212,90.0,2498.6934348033383
8054.0362551952785,90.0,2395.061564717621
8105.997779422345,90.0,2285.4586201860516
8157.959303649412,90.0,2170.1713967912347
8209.920827876478,90.0,2049.432756452991
